isbn,name,writer,company,pyear,KDC,img
8809362342009,알라딘 (2disc) - 한국어 더빙 수록,"론 클레멘츠 외 감독, 로빈 윌리엄스 외 목소리",월트디즈니,2013,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362342382,7번방의 선물 (1disc),"이환경 감독, 박신혜 외 출연",KD미디어(케이디미디어),2013,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362342450,뽀로로 극장판 슈퍼썰매 대모험,"박영균, 이선 외",KD미디어(케이디미디어),2013,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362343006,아이언 맨,셰인 블랙 감독,NA,2013,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362343549,몬스터 대학교,댄 스캔론 감독,NA,2013,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362343679,월드 워 Z,마크 포스터 감독,NA,2013,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362344423,도둑들 : 일반판 (1disc),"최동훈 감독, 이정재 외 출연",KD미디어(케이디미디어),2013,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362344652,비행기,"클레이 홀 감독, 발 킬머 외 목소리",월트디즈니,2014,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362344881,토르:다크 월드,앨런 테일러 감독,NA,2014,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362344959,화이: 괴물을 삼킨 아이 (2disc),"장준환 감독, 김윤석 외 출연",KD미디어(케이디미디어),2014,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362345017,관상 : 일반판 (2disc),"한재림 감독, 송강호 외 출연",KD미디어(케이디미디어),2014,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809362345505,겨울왕국 - 한국어 더빙 수록,"크리스 벅 외 감독, 크리스틴 벨 외 목소리",월트디즈니,2014,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
